endpoint,identity,status,bytes,flag
"GET /api/vehicles/available","portal-other",429,55,""
"GET /api/vehicles/available","portal-driver",429,55,""
"GET /api/vehicles/apk-expiring","anon",429,55,""
"GET /api/vehicles/apk-expiring","nobody",429,55,""
"GET /api/vehicles/apk-expiring","viewer",429,55,""
"GET /api/vehicles/apk-expiring","manager",429,55,""
"GET /api/vehicles/apk-expiring","admin",429,55,""
"GET /api/vehicles/apk-expiring","portal-admin",429,55,""
"GET /api/vehicles/apk-expiring","portal-other",429,55,""
"GET /api/vehicles/apk-expiring","portal-driver",429,55,""
"GET /api/vehicles/warranty-expiring","anon",429,55,""
"GET /api/vehicles/warranty-expiring","nobody",429,55,""
"GET /api/vehicles/warranty-expiring","viewer",429,55,""
"GET /api/vehicles/warranty-expiring","manager",429,55,""
"GET /api/vehicles/warranty-expiring","admin",429,55,""
"GET /api/vehicles/warranty-expiring","portal-admin",429,55,""
"GET /api/vehicles/warranty-expiring","portal-other",429,55,""
"GET /api/vehicles/warranty-expiring","portal-driver",429,55,""
"GET /api/vehicles/service-due","anon",429,55,""
"GET /api/vehicles/service-due","nobody",429,55,""
"GET /api/vehicles/service-due","viewer",429,55,""
"GET /api/vehicles/service-due","manager",429,55,""
"GET /api/vehicles/service-due","admin",429,55,""
"GET /api/vehicles/service-due","portal-admin",429,55,""
"GET /api/vehicles/service-due","portal-other",429,55,""
"GET /api/vehicles/service-due","portal-driver",429,55,""
"POST /api/vehicles/service-due/scan","anon",429,55,""
"POST /api/vehicles/service-due/scan","nobody",429,55,""
"POST /api/vehicles/service-due/scan","viewer",429,55,""
"POST /api/vehicles/service-due/scan","portal-admin",429,55,""
"POST /api/vehicles/service-due/scan","portal-other",429,55,""
"POST /api/vehicles/service-due/scan","portal-driver",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","anon",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","anon",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","nobody",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","nobody",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","viewer",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","viewer",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","manager",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","manager",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","admin",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","admin",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","portal-admin",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","portal-other",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","portal-other",429,55,""
"GET /api/vehicles/:vehicleId/overlaps","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/overlaps","portal-driver",429,55,""
"GET /api/vehicles/status/breakdown","anon",429,55,""
"GET /api/vehicles/status/breakdown","nobody",429,55,""
"GET /api/vehicles/status/breakdown","viewer",429,55,""
"GET /api/vehicles/status/breakdown","manager",429,55,""
"GET /api/vehicles/status/breakdown","admin",429,55,""
"GET /api/vehicles/status/breakdown","portal-admin",429,55,""
"GET /api/vehicles/status/breakdown","portal-other",429,55,""
"GET /api/vehicles/status/breakdown","portal-driver",429,55,""
"GET /api/vehicles","anon",429,55,""
"GET /api/vehicles","nobody",429,55,""
"GET /api/vehicles","viewer",429,55,""
"GET /api/vehicles","manager",429,55,""
"GET /api/vehicles","admin",429,55,""
"GET /api/vehicles","portal-admin",429,55,""
"GET /api/vehicles","portal-other",429,55,""
"GET /api/vehicles","portal-driver",429,55,""
"GET /api/vehicles/:id","anon",429,55,""
"GET [999999999] /api/vehicles/:id","anon",429,55,""
"GET /api/vehicles/:id","nobody",429,55,""
"GET [999999999] /api/vehicles/:id","nobody",429,55,""
"GET /api/vehicles/:id","viewer",429,55,""
"GET [999999999] /api/vehicles/:id","viewer",429,55,""
"GET /api/vehicles/:id","manager",429,55,""
"GET [999999999] /api/vehicles/:id","manager",429,55,""
"GET /api/vehicles/:id","admin",429,55,""
"GET [999999999] /api/vehicles/:id","admin",429,55,""
"GET /api/vehicles/:id","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:id","portal-admin",429,55,""
"GET /api/vehicles/:id","portal-other",429,55,""
"GET [999999999] /api/vehicles/:id","portal-other",429,55,""
"GET /api/vehicles/:id","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:id","portal-driver",429,55,""
"GET /api/barcodes/:code","anon",429,55,""
"GET [999999999] /api/barcodes/:code","anon",429,55,""
"GET /api/barcodes/:code","nobody",429,55,""
"GET [999999999] /api/barcodes/:code","nobody",429,55,""
"GET /api/barcodes/:code","viewer",429,55,""
"GET [999999999] /api/barcodes/:code","viewer",429,55,""
"GET /api/barcodes/:code","manager",429,55,""
"GET [999999999] /api/barcodes/:code","manager",429,55,""
"GET /api/barcodes/:code","admin",429,55,""
"GET [999999999] /api/barcodes/:code","admin",429,55,""
"GET /api/barcodes/:code","portal-admin",429,55,""
"GET [999999999] /api/barcodes/:code","portal-admin",429,55,""
"GET /api/barcodes/:code","portal-other",429,55,""
"GET [999999999] /api/barcodes/:code","portal-other",429,55,""
"GET /api/barcodes/:code","portal-driver",429,55,""
"GET [999999999] /api/barcodes/:code","portal-driver",429,55,""
"GET /api/scan-events","anon",429,55,""
"GET /api/scan-events","nobody",429,55,""
"GET /api/scan-events","viewer",429,55,""
"GET /api/scan-events","manager",429,55,""
"GET /api/scan-events","admin",429,55,""
"GET /api/scan-events","portal-admin",429,55,""
"GET /api/scan-events","portal-other",429,55,""
"GET /api/scan-events","portal-driver",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","anon",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","nobody",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","viewer",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","portal-admin",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","portal-other",429,55,""
"POST /api/vehicles/:id/barcode/regenerate","portal-driver",429,55,""
"GET /api/vehicles/:id/latest-data","anon",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","anon",429,55,""
"GET /api/vehicles/:id/latest-data","nobody",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","nobody",429,55,""
"GET /api/vehicles/:id/latest-data","viewer",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","viewer",429,55,""
"GET /api/vehicles/:id/latest-data","manager",429,55,""
"GET [999999999] /api/vehicles/:id/latest-data","manager",429,55,""
"GET /api/vehicles/:id/latest-data","admin",429,55,""
